"","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","home_win_prob","visitor_win_prob","tie_prob"
"1",2023-09-23,"Merrimack",0,"Clarkson",5,0,1660.54492534031,1405.15491989622,1686.06565481347,1387.78812828874,0.84923804812057,0.102593125458269,0.0481688264211605
"2",2023-09-23,"Union",1,"St. Cloud State",6,0,1557.73626585636,1326.87617927738,1586.26198193143,1306.94102879157,0.831486296707984,0.11776552866214,0.0507481746298757
"3",2023-09-23,"Penn State",0,"Northeastern",1,0,1810.4625590052,1635.94478235411,1826.12764356956,1624.42104335201,0.783727018936951,0.159097346505673,0.0571756345573762
"4",2023-09-23,"Post",0,"Mercyhurst",5,0,1512.81569827166,1224.97689005499,1534.80259465858,1210.59865008947,0.870113923720385,0.0849384624397814,0.0449476138398337
"5",2023-09-23,"RIT",1,"Rensselaer",1,1,1398.94203912774,1226.72578698072,1373.60166788968,1257.2370025269,0.781559680422847,0.16098649393137,0.0574538256457828
"6",2023-09-23,"Bemidji State",2,"Lindenwood",4,0,1295.38526557582,1299.58858132324,1344.93325637297,1259.50860553398,0.565907075703377,0.351143075958996,0.0829498483376276
"7",2023-09-24,"Union",0,"St. Cloud State",4,0,1586.26198193143,1306.94102879157,1607.31602377354,1293.02071106066,0.864909057537711,0.0893181867760127,0.0457727556862765
"8",2023-09-24,"Post",0,"Mercyhurst",2,0,1534.80259465858,1210.59865008947,1547.32615683972,1202.82128890914,0.89028031929525,0.0681379285772343,0.041581752127516
"9",2023-09-24,"Penn State",2,"Northeastern",1,0,1826.12764356956,1624.42104335201,1767.60052732848,1686.85830676735,0.808028443796688,0.137987858745584,0.0539836974577272
"10",2023-09-24,"Merrimack",0,"Clarkson",3,0,1686.06565481347,1387.78812828874,1703.21182732867,1376.731576358,0.876236571357541,0.0798077107120672,0.0439557179303922
"11",2023-09-24,"RIT",1,"Rensselaer",1,1,1373.60166788968,1257.2370025269,1353.47737611306,1283.17586532221,0.723603241962485,0.211790413385481,0.0646063446520344
"12",2023-09-24,"Bemidji State",1,"Lindenwood",4,0,1344.93325637297,1259.50860553398,1388.28088524269,1225.70880363445,0.68711086000778,0.243971613304013,0.068917526688206
"13",2023-09-28,"Wisconsin",6,"Lindenwood",0,0,1388.28088524269,1828.27175716335,1372.24458535343,1852.5467746892,0.0889673182507133,0.86532534158897,0.0457073401603164
"14",2023-09-29,"Franklin Pierce",2,"St. Thomas",7,0,1354.71613047114,1478.23312428002,1457.40139585861,1390.5478126191,0.39339386613729,0.517994940193913,0.0886111936687968
"15",2023-09-29,"Syracuse",2,"Post",0,0,1202.82128890914,1321.99249471381,1157.2599077743,1377.75806302117,0.399165997523249,0.511434505574418,0.0893994969023333
"16",2023-09-29,"Wisconsin",16,"Lindenwood",1,0,1372.24458535343,1852.5467746892,1355.81464602771,1878.84669672604,0.0697999221373079,0.888269063324183,0.0419310145385089
"17",2023-09-29,"Saint Michael's",2,"Sacred Heart",5,0,1398.48395884408,1214.44144441647,1427.22927342158,1193.45959495382,0.792512370538427,0.151449871769133,0.0560377576924399
"18",2023-09-29,"Ohio State",2,"Colgate",3,0,1746.24945535349,1793.52328442005,1782.34465095686,1763.98899665475,0.501667831850969,0.407751929607062,0.0905802385419692
"19",2023-09-29,"Saint Anselm",2,"Merrimack",3,0,1376.731576358,1400.1600335064,1410.22698193128,1372.91411766605,0.537560669686358,0.376158546503721,0.0862807838099212
"20",2023-09-29,"Maine",0,"Quinnipiac",3,0,1646.1435080672,1425.99034433014,1670.64066593828,1408.68542332777,0.823176149228991,0.12490929703076,0.0519145537402496
"21",2023-09-29,"Stonehill",0,"Rensselaer",1,0,1353.47737611306,1404.28074261371,1389.96120718404,1374.40508502339,0.496302310153206,0.412464899358369,0.0912327904884252
"22",2023-09-29,"Connecticut",2,"Penn State",0,0,1686.85830676735,1492.8137564971,1595.38294678121,1590.55157895766,0.801421124824959,0.143713065177809,0.0548658099972316
"23",2023-09-29,"Boston College",0,"Clarkson",3,0,1703.21182732867,1575.01429534484,1739.68355502187,1547.2740312342,0.73674205926573,0.20023303712462,0.06302490360965
"24",2023-09-29,"Robert Morris",2,"Union",5,0,1293.02071106066,1500,1391.7077645874,1411.65430177106,0.287663290669201,0.637691386164259,0.0746453231665397
"25",2023-09-29,"Mercyhurst",1,"St. Lawrence",5,0,1585.98688233356,1547.32615683972,1644.2046395665,1500.94386953392,0.626452167635128,0.29760684208225,0.075940990282622
"26",2023-09-29,"Northeastern",6,"Long Island",0,0,1487.70823094454,1767.60052732848,1450.16216285139,1816.70617581252,0.208300730977379,0.727568211697532,0.0641310573250886
