Date,Visitor,Visitor_Score,Home,Home_Score,OT,Division
2024-09-21,Minnesota-Duluth,2,Ohio State,1,0,WCHA
2024-09-21,St. Cloud State,4,Lindenwood,0,0,Non-Conference
2024-09-22,St. Cloud State,6,Lindenwood,2,0,Non-Conference
2024-09-22,Minnesota-Duluth,4,Ohio State,3,0,WCHA
2024-09-26,Northeastern,3,Penn State,1,0,Non-Conference
2024-09-27,St. Lawrence,3,Merrimack,0,0,Non-Conference
2024-09-27,Northeastern,1,Penn State,2,0,Non-Conference
2024-09-27,Minnesota,4,Connecticut,1,0,Non-Conference
2024-09-27,Quinnipiac,7,Maine,0,0,Non-Conference
2024-09-27,Colgate,3,Mercyhurst,2,0,Non-Conference
2024-09-27,Holy Cross,3,Rensselaer,2,0,Non-Conference
2024-09-27,Assumption,0,RIT,3,0,Non-Conference
2024-09-27,Clarkson,9,Saint Michael's,0,0,Non-Conference
2024-09-27,Union,1,Robert Morris,3,0,Non-Conference
2024-09-27,Lindenwood,0,Wisconsin,12,0,Non-Conference
2024-09-27,Ohio State,8,Bemidji State,2,0,WCHA
2024-09-28,Lindenwood,1,Wisconsin,8,0,Non-Conference
2024-09-28,Minnesota,3,Connecticut,2,1,Non-Conference
2024-09-28,Quinnipiac,4,Maine,0,0,Non-Conference
2024-09-28,Clarkson,14,Saint Michael's,0,0,Non-Conference
2024-09-28,Assumption,0,RIT,5,0,Non-Conference
2024-09-28,Union,4,Robert Morris,2,0,Non-Conference
2024-09-28,Colgate,3,Mercyhurst,4,1,Non-Conference
2024-09-28,Holy Cross,0,Rensselaer,2,0,Non-Conference
2024-09-28,Boston College,5,Stonehill,1,0,Non-Conference
2024-09-28,Ohio State,3,Bemidji State,0,0,WCHA
2024-10-01,Merrimack,1,Boston University,7,0,Hockey East
2024-10-04,Rensselaer,1,Sacred Heart,2,1,Non-Conference
2024-10-04,Penn State,2,Connecticut,3,0,Non-Conference
2024-10-04,Stonehill,0,Syracuse,4,0,Non-Conference
2024-10-04,Vermont,2,Clarkson,6,0,Non-Conference
2024-10-04,Minnesota-Duluth,3,Colgate,2,0,Non-Conference
2024-10-04,Saint Anselm,1,Holy Cross,5,0,Non-Conference
2024-10-04,Boston University,0,Minnesota,1,0,Non-Conference
2024-10-04,Long Island,0,Minnesota State,4,0,Non-Conference
2024-10-04,Assumption,0,New Hampshire,6,0,Non-Conference
2024-10-04,Saint Michael's,0,Providence,8,0,Non-Conference
2024-10-04,Mercyhurst,1,St. Cloud State,2,0,Non-Conference
2024-10-04,Ohio State,3,St. Lawrence,2,1,Non-Conference
2024-10-04,RIT,0,Union,4,0,Non-Conference
2024-10-04,Post,0,St. Thomas,7,0,Non-Conference
2024-10-04,Wisconsin,7,Boston College,1,0,Non-Conference
2024-10-04,Quinnipiac,2,Northeastern,4,0,Non-Conference
2024-10-04,Bemidji State,0,Robert Morris,2,0,Non-Conference
2024-10-05,Mercyhurst,0,St. Cloud State,2,0,Non-Conference
2024-10-05,Saint Michael's,0,Providence,6,0,Non-Conference
2024-10-05,Vermont,1,Clarkson,5,0,Non-Conference
2024-10-05,Minnesota-Duluth,2,Colgate,3,0,Non-Conference
2024-10-05,Penn State,4,Connecticut,2,0,Non-Conference
2024-10-05,Long Island,1,Minnesota State,4,0,Non-Conference
2024-10-05,Quinnipiac,3,Northeastern,0,0,Non-Conference
2024-10-05,Stonehill,0,Syracuse,4,0,Non-Conference
2024-10-05,Bemidji State,3,Robert Morris,4,1,Non-Conference
2024-10-05,Ohio State,5,St. Lawrence,3,0,Non-Conference
2024-10-05,RIT,4,Union,3,1,Non-Conference
2024-10-05,Assumption,1,New Hampshire,1,1,Non-Conference
2024-10-05,Post,1,St. Thomas,4,0,Non-Conference
2024-10-05,Wisconsin,7,Boston College,0,0,Non-Conference
2024-10-05,Holy Cross,3,Saint Anselm,2,0,Non-Conference
2024-10-05,Sacred Heart,0,Rensselaer,4,0,Non-Conference
2024-10-06,Boston University,2,Minnesota,5,0,Non-Conference
2024-10-08,Providence,0,Quinnipiac,1,0,Non-Conference
2024-10-08,Syracuse,2,St. Lawrence,4,0,Non-Conference
2024-10-10,Boston College,1,Holy Cross,4,0,Hockey East
2024-10-11,Long Island,2,Stonehill,0,0,NEWHA
2024-10-11,Post,4,Saint Michael's,0,0,NEWHA
2024-10-11,Saint Anselm,4,Sacred Heart,3,0,NEWHA
2024-10-11,Franklin Pierce,4,Assumption,1,0,NEWHA
2024-10-11,Minnesota State,3,St. Thomas,4,0,WCHA
2024-10-11,Minnesota,3,Ohio State,4,0,WCHA
2024-10-11,St. Cloud State,1,Bemidji State,0,0,WCHA
2024-10-11,Robert Morris,0,Clarkson,4,0,Non-Conference
2024-10-11,Mercyhurst,0,St. Lawrence,3,0,Non-Conference
2024-10-11,Rensselaer,2,Syracuse,1,0,Non-Conference
2024-10-11,Colgate,5,RIT,1,0,Non-Conference
2024-10-11,Penn State,4,Union,2,0,Non-Conference
2024-10-11,Providence,3,Maine,2,1,Hockey East
2024-10-11,Connecticut,5,New Hampshire,1,0,Hockey East
2024-10-11,Merrimack,3,Vermont,2,0,Hockey East
2024-10-11,Boston University,0,Northeastern,4,0,Hockey East
2024-10-12,Long Island,2,Stonehill,3,0,NEWHA
2024-10-12,Saint Anselm,0,Sacred Heart,4,0,NEWHA
2024-10-12,Assumption,0,Franklin Pierce,1,1,NEWHA
2024-10-12,Post,0,Saint Michael's,1,0,NEWHA
2024-10-12,Holy Cross,1,Boston College,5,0,Hockey East
2024-10-12,Northeastern,0,Boston University,4,0,Hockey East
2024-10-12,Merrimack,3,Vermont,2,0,Hockey East
2024-10-12,New Hampshire,0,Connecticut,2,0,Hockey East
2024-10-12,Providence,2,Maine,3,0,Hockey East
2024-10-12,St. Thomas,3,Minnesota State,2,0,WCHA
2024-10-12,Minnesota-Duluth,1,Wisconsin,5,0,WCHA
2024-10-12,St. Cloud State,2,Bemidji State,0,0,WCHA
2024-10-12,Minnesota,1,Ohio State,1,1,WCHA
2024-10-12,Robert Morris,0,Clarkson,3,0,Non-Conference
2024-10-12,Colgate,2,RIT,4,0,Non-Conference
2024-10-12,Mercyhurst,1,St. Lawrence,2,0,Non-Conference
2024-10-12,Penn State,5,Union,3,0,Non-Conference
2024-10-12,Syracuse,1,Rensselaer,2,1,Non-Conference
2024-10-13,Minnesota-Duluth,3,Wisconsin,7,0,WCHA
2024-10-15,Quinnipiac,2,Providence,3,0,Non-Conference
2024-10-17,Rensselaer,3,RIT,3,1,Non-Conference
2024-10-17,Post,1,Colgate,6,0,Non-Conference
2024-10-18,Connecticut,3,Providence,2,0,Hockey East
2024-10-18,Maine,1,Boston University,2,0,Hockey East
2024-10-18,Northeastern,4,Holy Cross,4,1,Hockey East
2024-10-18,Assumption,2,Long Island,3,0,NEWHA
2024-10-18,Sacred Heart,4,Stonehill,3,0,NEWHA
2024-10-18,Saint Michael's,0,Saint Anselm,5,0,NEWHA
2024-10-18,St. Thomas,0,Minnesota-Duluth,3,0,WCHA
2024-10-18,Wisconsin,5,Minnesota,0,0,WCHA
2024-10-18,Ohio State,5,St. Cloud State,1,0,WCHA
2024-10-18,Post,1,Colgate,8,0,Non-Conference
2024-10-18,Franklin Pierce,1,Brown,8,0,Non-Conference
2024-10-18,Cornell,0,Mercyhurst,0,1,Non-Conference
2024-10-18,Union,1,New Hampshire,2,0,Non-Conference
2024-10-18,Syracuse,0,Quinnipiac,4,0,Non-Conference
2024-10-18,Rensselaer,0,RIT,2,0,Non-Conference
2024-10-18,Princeton,7,Robert Morris,1,0,Non-Conference
2024-10-18,St. Lawrence,0,Vermont,1,0,Non-Conference
2024-10-18,Dartmouth,0,Penn State,2,0,Non-Conference
2024-10-18,Lindenwood,3,Bemidji State,6,0,Non-Conference
2024-10-19,Ohio State,3,St. Cloud State,3,1,WCHA
2024-10-19,St. Thomas,0,Minnesota-Duluth,2,0,WCHA
2024-10-19,Wisconsin,4,Minnesota,3,0,WCHA
2024-10-19,Sacred Heart,2,Stonehill,0,0,NEWHA
2024-10-19,Assumption,1,Long Island,1,1,NEWHA
2024-10-19,Saint Michael's,3,Saint Anselm,4,1,NEWHA
2024-10-19,Cornell,1,Mercyhurst,2,0,Non-Conference
2024-10-19,St. Lawrence,5,Vermont,0,0,Non-Conference
2024-10-19,Dartmouth,1,Penn State,4,0,Non-Conference
2024-10-19,Syracuse,1,Quinnipiac,4,0,Non-Conference
2024-10-19,Princeton,11,Robert Morris,1,0,Non-Conference
2024-10-19,Lindenwood,3,Bemidji State,3,1,Non-Conference
2024-10-19,Connecticut,0,Harvard,1,0,Non-Conference
2024-10-19,Union,0,New Hampshire,1,0,Non-Conference
2024-10-19,Brown,6,Franklin Pierce,2,0,Non-Conference
2024-10-19,Maine,0,Boston University,2,0,Hockey East
2024-10-19,Holy Cross,2,Northeastern,4,0,Hockey East
2024-10-19,Boston College,2,Merrimack,1,0,Hockey East
2024-10-22,Mercyhurst,1,Ohio State,5,0,Non-Conference
2024-10-22,Saint Anselm,0,Yale,9,0,Non-Conference
2024-10-24,Bemidji State,0,Wisconsin,4,0,WCHA
2024-10-25,Franklin Pierce,3,Post,2,0,NEWHA
2024-10-25,Dartmouth,1,Rensselaer,3,0,ECAC
2024-10-25,Harvard,0,Union,3,0,ECAC
2024-10-25,Quinnipiac,1,Brown,2,1,ECAC
2024-10-25,Princeton,1,Yale,3,0,ECAC
2024-10-25,Cornell,2,Penn State,0,0,Non-Conference
2024-10-25,St. Lawrence,4,RIT,1,0,Non-Conference
2024-10-25,Robert Morris,6,Saint Anselm,1,0,Non-Conference
2024-10-25,Maine,3,Colgate,8,0,Non-Conference
2024-10-25,Lindenwood,1,Merrimack,5,0,Non-Conference
2024-10-25,Boston University,4,Syracuse,1,0,Non-Conference
2024-10-25,Ohio State,11,Stonehill,0,0,Non-Conference
2024-10-25,Minnesota State,2,Minnesota,8,0,WCHA
2024-10-25,St. Cloud State,1,St. Thomas,1,1,WCHA
2024-10-25,Bemidji State,0,Wisconsin,6,0,WCHA
2024-10-25,Vermont,4,New Hampshire,3,0,Hockey East
2024-10-25,Northeastern,1,Providence,2,0,Hockey East
2024-10-26,St. Thomas,1,St. Cloud State,3,0,WCHA
2024-10-26,Minnesota,3,Minnesota State,2,1,WCHA
2024-10-26,Robert Morris,7,Saint Anselm,1,0,Non-Conference
2024-10-26,St. Lawrence,2,RIT,2,1,Non-Conference
2024-10-26,Lindenwood,1,Merrimack,4,0,Non-Conference
2024-10-26,Clarkson,1,Boston College,3,0,Non-Conference
2024-10-26,Penn State,11,Stonehill,1,0,Non-Conference
2024-10-26,Maine,1,Colgate,4,0,Non-Conference
2024-10-26,Boston University,3,Syracuse,2,0,Non-Conference
2024-10-26,Cornell,3,Ohio State,7,0,Non-Conference
2024-10-26,Princeton,3,Brown,4,0,ECAC
2024-10-26,Harvard,0,Rensselaer,3,0,ECAC
2024-10-26,Dartmouth,1,Union,2,0,ECAC
2024-10-26,Quinnipiac,1,Yale,1,1,ECAC
2024-10-26,Vermont,2,New Hampshire,3,1,Hockey East
2024-10-26,Post,3,Franklin Pierce,2,1,NEWHA
2024-10-27,Clarkson,3,Boston College,4,0,Non-Conference
2024-10-31,Syracuse,2,Penn State,3,1,AHA
2024-11-01,Vermont,1,Maine,5,0,Hockey East
2024-11-01,Providence,1,Boston University,5,0,Hockey East
2024-11-01,Holy Cross,1,Connecticut,2,1,Hockey East
2024-11-01,Northeastern,4,New Hampshire,1,0,Hockey East
2024-11-01,Rensselaer,1,Colgate,4,0,ECAC
2024-11-01,Union,3,Cornell,2,0,ECAC
2024-11-01,Brown,2,Dartmouth,1,0,ECAC
2024-11-01,Yale,1,Harvard,5,0,ECAC
2024-11-01,St. Lawrence,6,Princeton,2,0,ECAC
2024-11-01,Clarkson,0,Quinnipiac,3,0,ECAC
2024-11-01,Wisconsin,6,St. Cloud State,0,0,WCHA
2024-11-01,Ohio State,5,St. Thomas,1,0,WCHA
2024-11-01,Minnesota,2,Bemidji State,1,0,WCHA
2024-11-01,Minnesota-Duluth,4,Minnesota State,1,0,WCHA
2024-11-01,Syracuse,2,Penn State,5,0,AHA
2024-11-01,Mercyhurst,3,Lindenwood,1,0,AHA
2024-11-01,Robert Morris,2,RIT,2,1,AHA
2024-11-01,Sacred Heart,2,Long Island,3,0,NEWHA
