"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"1",1,2023-09-23,"Merrimack",0,"Clarkson",5,0,"Non-Conference",0.825849112246828,0.174150887753172,1660.54492534031,1405.15491989622,1683.18454074822,1382.51530448831,0,255.390005444094
"2",2,2023-09-23,"Union",1,"St. Cloud State",6,0,"Non-Conference",0.804598098571123,0.195401901428877,1557.73626585636,1326.87617927738,1583.13851304211,1301.47393209162,0,230.860086578981
"3",3,2023-09-23,"Penn State",0,"Northeastern",1,0,"Non-Conference",0.748560950491261,0.251439049508739,1810.4625590052,1635.94478235411,1835.10358585706,1611.30375550225,0,174.517776651092
"4",4,2023-09-23,"Post",0,"Mercyhurst",5,0,"Non-Conference",0.851103247099044,0.148896752900956,1512.81569827166,1224.97689005499,1532.17227614878,1205.62031217786,0,287.838808216668
"5",5,2023-09-23,"RIT",1,"Rensselaer",1,1,"Non-Conference",0.746059123036493,0.253940876963507,1398.94203912774,1226.72578698072,1376.79671805445,1248.87110805401,1,172.216252147013
"6",6,2023-09-23,"Bemidji State",2,"Lindenwood",4,0,"Non-Conference",0.515532678101806,0.484467321898194,1295.38526557582,1299.58858132324,1346.73880169703,1248.23504520203,0,4.20331574741749
"7",7,2023-09-24,"Union",0,"St. Cloud State",4,0,"Non-Conference",0.846542740716021,0.153457259283979,1583.13851304211,1301.47393209162,1601.86029867476,1282.75214645898,0,281.664580950489
"8",8,2023-09-24,"Post",0,"Mercyhurst",2,0,"Non-Conference",0.877194953326349,0.122805046673651,1532.17227614878,1205.62031217786,1545.18961109619,1192.60297723046,0,326.551963970916
"9",9,2023-09-24,"Penn State",2,"Northeastern",1,0,"Non-Conference",0.798129155476633,0.201870844523367,1835.10358585706,1611.30375550225,1756.88692862035,1689.52041273896,0,223.799830354805
"10",10,2023-09-24,"Merrimack",0,"Clarkson",3,0,"Non-Conference",0.860222378587598,0.139777621412402,1683.18454074822,1382.51530448831,1699.11918958924,1366.58065564729,0,300.669236259918
"11",11,2023-09-24,"RIT",1,"Rensselaer",1,1,"Non-Conference",0.69481891745199,0.30518108254801,1376.79671805445,1248.87110805401,1359.26301548377,1266.40481062469,1,127.925610000444
"12",12,2023-09-24,"Bemidji State",1,"Lindenwood",4,0,"Non-Conference",0.657771765695589,0.342228234304411,1346.73880169703,1248.23504520203,1385.75282040774,1209.22102649133,0,98.5037564949994
"13",13,2023-09-28,"Wisconsin",6,"Lindenwood",0,0,"Non-Conference",0.0786380825999596,0.92136191740004,1385.75282040774,1828.27175716335,1374.90076500894,1839.12381256215,0,442.518936755617
"14",14,2023-09-29,"Franklin Pierce",2,"St. Thomas",7,0,"Non-Conference",0.348719163909258,0.651280836090742,1354.71613047114,1478.23312428002,1439.38263916294,1393.56661558822,0,123.516993808875
"15",15,2023-09-29,"Syracuse",2,"Post",0,0,"Non-Conference",0.341081367082391,0.658918632917609,1192.60297723046,1321.99249471381,1156.44835231972,1358.14711962455,0,129.389517483355
"16",16,2023-09-29,"Wisconsin",16,"Lindenwood",1,0,"Non-Conference",0.0700490760606585,0.929950923939342,1374.90076500894,1839.12381256215,1360.1904590362,1853.83411853488,0,464.223047553206
"17",17,2023-09-29,"Saint Michael's",2,"Sacred Heart",5,0,"Non-Conference",0.758739422264887,0.241260577735113,1398.48395884408,1214.44144441647,1425.98766470588,1186.93773855467,0,184.042514427612
